,early_chatter_band_energy_growth,early_energy_growth_rate,early_hegr,early_instantaneous_amplitude_max,early_instantaneous_amplitude_mean,early_instantaneous_energy_max,early_instantaneous_energy_mean,early_short_term_spectral_energy_growth,freq_band_energy_ratio_band_1_0_50_hz,freq_band_energy_ratio_band_2_50_150_hz,freq_band_energy_ratio_band_3_150_300_hz,freq_band_energy_ratio_band_4_300_490_hz,freq_centroid,freq_chatter_band_ratio,freq_entropy,freq_harmonics_ratio,freq_peak,freq_sideband_ratio,freq_spectral_kurtosis,freq_spindle_harmonic_ratio,freq_spread,freq_tooth_harmonic_ratio,imf1_correlation,imf_1_bandwidth_hz,imf_1_centre_frequency_hz,imf_1_energy_ratio,imf_1_gate,imf_1_kurtosis,imf_1_source_correlation,imf_1_spectral_entropy,imf_2_bandwidth_hz,imf_2_centre_frequency_hz,imf_2_energy_ratio,imf_2_gate,imf_2_kurtosis,imf_2_source_correlation,imf_2_spectral_entropy,imf_3_bandwidth_hz,imf_3_centre_frequency_hz,imf_3_energy_ratio,imf_3_gate,imf_3_kurtosis,imf_3_source_correlation,imf_3_spectral_entropy,imf_bandwidth_mean,imf_centre_freq_mean,imf_count,imf_entropy_mean,imf_frequency_ordering_score,imf_max_adjacent_correlation,imf_max_energy_ratio,imf_mode_mixing_index,imf_orthogonality_index,imf_selected_count,physics_chatter_band_energy,physics_chatter_to_harmonic_energy_ratio,physics_forced_vibration_energy,physics_frequency_proximity,physics_peak_to_spindle_harmonic_distance_hz,physics_peak_to_tooth_harmonic_distance_hz,physics_sideband_strength,physics_spindle_frequency_hz,physics_tooth_passing_frequency_hz,time_clearance_factor,time_crest_factor,time_impulse_factor,time_kurtosis,time_mean_absolute,time_peak_to_peak,time_rms,time_shape_factor,time_skewness,time_std,time_variance,time_zero_crossing_rate,wavelet_cA_2_energy,wavelet_cA_2_energy_ratio,wavelet_cD_1_energy,wavelet_cD_1_energy_ratio,wavelet_cD_2_energy,wavelet_cD_2_energy_ratio,wavelet_dominant_ridge_hz,wavelet_entropy,wavelet_high_freq_ratio,wavelet_time_frequency_concentration,start_index,end_index
early_chatter_band_energy_growth,1.0,0.8758455454047707,-0.8358393131125074,-0.48235662401827506,-0.4180929807287515,-0.48251169401394817,-0.5039346476977158,0.8451762524530496,0.9489576312289221,-0.93710806485135,-0.9814157574962856,-0.9859551135952184,-0.6193948661679393,-0.9012330593635723,-0.4751421759104669,0.42602996717120134,,0.33924326369403657,0.41212440401809847,0.9808792737266789,-0.9645125090854656,0.42602996717120134,0.5432768250245498,0.13889195445339708,-0.7352391507898645,-0.1196749500922726,,0.8858344966647267,0.5432768250245498,0.9813199039131996,0.9956187130343076,-0.4964151311811302,-0.8114747032530605,,0.6270698524277539,-0.7858154529644593,0.8724522796890831,0.996393736896346,0.8836474849684666,0.7343316630766655,,-0.9238558877434836,0.9369821047534594,0.9944356984560216,0.999575910974316,0.9417558879203303,,0.968065664863404,,-0.9576340898926032,-0.8114747032530605,-0.9638487550549449,-0.09056886480437515,,-0.7041253768871218,-0.7841873376299228,0.03180499344785175,,,,0.08960828492726004,,,-0.5719010946598109,-0.34338095015098036,-0.46289565564608676,0.9456544449329283,-0.3759510628260444,-0.425117695088893,-0.4770425670723396,-0.8706278610518146,0.3172381439172278,-0.5307339675360117,-0.5290989351970073,-0.9431084198493805,-0.3041051477576064,-0.08923246003544155,0.999607155447335,0.9995835170075604,-0.1837479761264553,-0.18605986956845752,,0.3922733932725484,0.08923246003544126,-0.050170559347775125,-0.005464431406841281,-0.005464431406841281
early_energy_growth_rate,0.8758455454047707,1.0,-0.9969964227498229,0.0002681799810749561,-0.8045730617869719,9.114574604315746e-05,-0.8582033820357672,0.9981830907362896,0.983351405775444,-0.9892053613780172,-0.9521747907754948,-0.9441422561187979,-0.9213670028584768,-0.9984646202286751,0.00848548616409719,0.8097413701444288,,0.7510979128202222,-0.0787451277207247,0.9530193487713733,-0.9721860785656953,0.8097413701444288,0.8809880524582909,0.599561926450555,-0.9710602272579953,0.37430642995989194,,0.9997773129457486,0.8809880524582909,0.9523271064168898,0.9171334339775142,-0.8537135709987712,-0.4287060258280164,,0.17329538045974907,-0.3897889009652489,0.9999755903334008,0.8317391290375152,0.9998653276761562,0.31558240743688576,,-0.6244477368079646,0.652045052370696,0.9218108472679842,0.8895273713570527,0.9871269074041984,,0.9688601350290031,,-0.9777200041880987,-0.4287060258280164,-0.9727691278092833,0.4012838318139198,,-0.27402857505639977,-0.9862866821757347,0.5102036411247693,,,,0.5591331184576059,,,-0.8967777523329611,-0.7539968079654928,-0.8332003925667333,0.985173108865812,-0.776463442883781,-0.8091494068232437,-0.8419557392898849,-0.5251283972802523,0.7355153134347449,-0.8738558638246056,-0.8729168795944359,-0.9864719209823243,-0.7260843927551499,-0.5588202372969718,0.8890272567732834,0.889407466802509,0.313439780524984,0.3112050017786798,,0.7874820794891857,0.5588202372969717,-0.5259254419009847,0.47779832256050403,0.47779832256050403
early_hegr,-0.8358393131125074,-0.9969964227498229,1.0,-0.07771498640537909,0.848149015118204,-0.07753848636968391,0.8953803218213819,-0.9998514818427874,-0.9663245105541463,0.9748853552185908,0.9256504417961919,0.915784507315426,0.9487030111492066,0.99117558651328,-0.08590482576062318,-0.8527544982661638,,-0.799972136862045,0.15571573356893154,-0.9266972689550559,0.9511270525189329,-0.8527544982661638,-0.914985385958287,-0.6597446189601581,0.986640754098791,-0.4449997376131172,,-0.9951400497253761,-0.914985385958287,-0.9258390919896035,-0.88350965850659,0.8914796696482314,0.3574487878121637,,-0.09649905019069525,0.3172963034029595,-0.9975132160335421,-0.7862446026692456,-0.9955911489293628,-0.2411446311402537,,0.5620804151711246,-0.591367334939104,-0.8890203245857997,-0.8514711950888381,-0.9717751050751983,,-0.946773390196287,,0.9585260622655,0.3574487878121637,0.9518968238950042,-0.4710169785464726,,0.19872246898826512,0.9961063371833238,-0.5752803071550893,,,,-0.6216638243123405,,,0.9283533289963969,0.8026057608506969,0.8735241083099463,-0.9689269015627914,0.8229358418132798,0.8522275116439912,0.8812134573443412,0.45764143125776463,-0.7857775225564708,0.9088850447655611,0.9080792934914901,0.9708129642658949,0.7771569554025588,0.6213682183445084,-0.850897273282811,-0.8513335764832874,-0.3860432205690078,-0.38387205691195103,,-0.832850689266785,-0.6213682183445081,0.5902173562439463,-0.5443985901893502,-0.5443985901893502
early_instantaneous_amplitude_max,-0.48235662401827506,0.0002681799810749561,-0.07771498640537909,1.0,-0.5940694248212028,0.9999999843294384,-0.5135399386831917,0.060521465276798525,-0.18145037450872586,0.14627055175896278,0.3052985053506523,0.32928495009213843,-0.3889408471874891,0.05512538957586785,0.9999662372927518,0.587004075769156,,0.6603922306401973,-0.9969158632566167,-0.3026538352344846,0.23394906694857592,0.587004075769156,0.4733747582268736,0.8004891295545018,-0.2390951545261475,0.9274054201094567,,-0.020834592525609187,0.4733747582268736,-0.30482340736076735,-0.398334339794516,-0.5209718021188295,0.9033290426764053,,-0.984823385756918,0.9207996697391695,0.007255213856677817,-0.5549435850198429,-0.016143025858525794,-0.9488135067276527,,0.7808991013592631,-0.7580053297324729,-0.38739276486011687,-0.45664331378574474,-0.15967421954786856,,-0.24734880250399516,,0.20965108726564805,0.9033290426764053,0.23151535133663523,0.9160613410961561,,0.9616480266035858,-0.16530564449858368,0.8601904243744747,,,,0.8292278134146078,,,-0.44272173906941636,-0.6570802644410173,-0.5531945896204913,-0.17129903084870587,-0.6303705073258702,-0.5878199355524983,-0.5397723758135213,0.8508821521304242,0.6777053247448624,-0.48641941033214,-0.48810304045578995,0.1636657599431992,-0.6878002918064409,-0.8294386518120137,-0.45761583876213296,-0.45687671908070054,0.9496921032749437,0.9504262296994015,,0.6165487139083473,0.8294386518120139,-0.8506716873515335,0.8785976615728742,0.8785976615728742
early_instantaneous_amplitude_mean,-0.4180929807287515,-0.8045730617869719,0.848149015118204,-0.5940694248212028,1.0,-0.5939270067330781,0.9953182367478275,-0.8388931511359295,-0.683266467383701,0.7088671378721532,0.5846398975898314,0.5639339769549803,0.9721342939837126,0.7704423050280932,-0.6006594892224977,-0.9999616749201546,,-0.9963698955415656,0.6553658387231832,-0.5868898188246112,0.6431083814704865,-0.9999616749201546,-0.989794299201918,-0.9576693179674161,0.9231217909743309,-0.8518403959620829,,-0.7918619697739169,-0.989794299201918,-0.5850445610918457,-0.5012024722854741,0.9961200103587002,-0.1915882475046375,,0.4454398127802424,-0.2332687163554589,-0.8087027022133428,-0.33950713548600037,-0.7947188742484864,0.3095975646229074,,0.038574559749168146,-0.07436977221123317,-0.5114627428218782,-0.4443687747102547,-0.6992353831368372,,-0.6324754640841964,,0.6619893926888301,-0.1915882475046375,0.6450226653432859,-0.8668046670959003,,-0.3506458679998678,0.8915499881271851,-0.9212421145712032,,,,-0.9422144004762302,,,0.9842923429570853,0.9967349834351061,0.9987545479928623,-0.6907602834564182,0.9989457666378061,0.9999699928029363,0.9978266384461437,-0.0828789812215402,-0.994116482466119,0.9918036831063591,0.9920481812051944,0.6963381119978221,0.9925250532168679,0.9420879217139939,-0.4433889380836401,-0.4441337132343011,-0.8161134522631052,-0.8147517290862424,,-0.9996011868815264,-0.9420879217139941,0.9282362109364674,-0.9061060349206738,-0.9061060349206738
early_instantaneous_energy_max,-0.48251169401394817,9.114574604315746e-05,-0.07753848636968391,0.9999999843294384,-0.5939270067330781,1.0,-0.5133880236305325,0.06034475461337291,-0.18162446715229635,0.14644567963418886,0.3054670826049427,0.32945210607565645,-0.3887777460479387,0.055302153757973614,0.9999647668765342,0.586860742488749,,0.660259281594116,-0.9969019543808818,-0.30282256192034335,0.23412118461668846,0.586860742488749,0.4732188082298084,0.8003830120231287,-0.23892325121814142,0.9273391845512723,,-0.021011588008607585,0.4732188082298084,-0.304992011565031,-0.39849671648785495,-0.5208206821528525,0.9034049670551139,,-0.9848540962972755,0.9208687050097956,0.007078184165229961,-0.5550908489781916,-0.016320036773923186,-0.9488694057988517,,0.7810096748296421,-0.7581207881445666,-0.3875559692677665,-0.4568008051152733,-0.1598489798918911,,-0.2475203317924079,,0.20982418385526377,0.9034049670551139,0.23168757214702157,0.9159903292532261,,0.9616965696317232,-0.16513104323966457,0.8601001282184378,,,,0.829128854080752,,,-0.44256299277981326,-0.6569468020858849,-0.5530471022144342,-0.17147344567322645,-0.6302330667574765,-0.5876767070958199,-0.5396233379843668,0.850975144902574,0.6775751349031447,-0.486264723391599,-0.48794851980116205,0.16384040445915288,-0.687671771881717,-0.8293397478755434,-0.4577732415851872,-0.45703418919044086,0.949636643906861,0.9503711659870335,,0.6164093222243345,0.829339747875544,-0.8505786075956314,0.8785131028533661,0.8785131028533661
early_instantaneous_energy_mean,-0.5039346476977158,-0.8582033820357672,0.8953803218213819,-0.5135399386831917,0.9953182367478275,-0.5133880236305325,1.0,-0.8875729576637311,-0.7506398750274559,0.7737211022477214,0.6603158282727503,0.6411109079222326,0.9902406003883509,0.8284518619184575,-0.5205735967218263,-0.9961262719245249,,-0.9834771920991421,0.5792951998694871,-0.6623980496880312,0.7141111959621518,-0.9961262719245249,-0.9989335630346057,-0.9253624707856033,0.9559633869694515,-0.7972258290099573,,-0.8471800414951522,-0.9989335630346057,-0.6606903975685715,-0.5824918334534219,0.9999622955501118,-0.09582972483382816,,0.3568206916082154,-0.13819102018027554,-0.8617689500569803,-0.42882884358823625,-0.8496637911721564,0.21624484636843705,,0.13497401930710343,-0.17040592768090446,-0.5921217793574011,-0.5288734482849742,-0.7650574178013823,,-0.7043791019366616,,0.731332059491656,-0.09582972483382816,0.7158607406617791,-0.8145511856399068,,-0.25848885069862165,0.9311518057068461,-0.8793324501707518,,,,-0.9054237451555435,,,0.9967476674405649,0.9842645698744898,0.9989009136128979,-0.7574138004197077,0.9898320385130569,0.996037117330251,0.9995238223370531,0.013828511086662342,-0.9789932789612978,0.9995096244992754,0.9995681381974408,0.7624464995116292,0.9760827749452896,0.9052634979767273,-0.5279451104801236,-0.5286507530661787,-0.7564382168620776,-0.7548974641269695,,-0.9921918905664988,-0.9052634979767276,0.8879367273016943,-0.8609751727417546,-0.8609751727417546
early_short_term_spectral_energy_growth,0.8451762524530496,0.9981830907362896,-0.9998514818427874,0.060521465276798525,-0.8388931511359295,0.06034475461337291,-0.8875729576637311,1.0,0.9706157852804375,-0.978578727374537,-0.932034001495816,-0.9225709171325371,-0.9431132294073222,-0.9933128536395683,0.06872167424719114,0.8436262716666842,,0.7895122253043859,-0.13866872853812867,0.9330363627224779,-0.9563076803748748,0.8436262716666842,0.9078957584113919,0.6466953820103037,-0.9836865938081623,0.4294999800437531,,0.9966892901362445,0.9078957584113919,0.9322146643805468,0.891451117480719,-0.8835391745975267,-0.37349119188524166,,0.11363838966302484,-0.3335927334982683,0.998579720994521,0.7967770475983853,0.9970598281408689,0.2578343260438449,,-0.5762509613434705,0.6051771253545568,0.8967792279688998,0.860382322744149,0.9756964617400051,,0.9521804488427368,,-0.9632955069812802,-0.37349119188524166,-0.9570363014069717,0.45574440687660345,,-0.21558333637171054,-0.9944390409229362,0.5610981250066487,,,,0.6080722970217934,,,-0.9218095545133363,-0.792206248104956,-0.8650051428677532,0.973045805860949,-0.8130223364050553,-0.8430845520879492,-0.8729357013678761,-0.4728969378036911,0.7750013691944978,-0.9015626331228507,-0.9007268151885713,-0.9748021705684413,-0.7661959959279663,-0.607772693203397,0.8598245266015345,0.8602485744322547,0.3700877601585478,0.36790131180370644,,0.8231879598421978,0.6077726932033968,-0.5762175667942301,0.5298613131620518,0.5298613131620518
freq_band_energy_ratio_band_1_0_50_hz,0.9489576312289221,0.983351405775444,-0.9663245105541463,-0.18145037450872586,-0.683266467383701,-0.18162446715229635,-0.7506398750274559,0.9706157852804375,1.0,-0.9993641108211042,-0.991845864482893,-0.9883053440782311,-0.8353964005655016,-0.9919073058862138,-0.17336333931544853,0.689632856098464,,0.6186272093671791,0.10371570214166632,0.9921958290752704,-0.9985597684743632,0.689632856098464,0.78034490279004,0.44414911719774386,-0.9114937998819723,0.19957035103391826,,0.986967086666956,0.78034490279004,0.991909319700694,0.9742921125555033,-0.7448741198388261,-0.5857371913688186,,0.34937499893391877,-0.5506407447346542,0.9820577587144357,0.9187734497818081,0.9862011165376229,0.48275657802139005,,-0.7559823699966244,0.7789614527561071,0.9769036429584235,0.9577398696592204,0.9997557943623886,,0.997723956065259,,-0.9995865461178862,-0.5857371913688186,-0.9986908987321407,0.22816131087557917,,-0.4442247467931476,-0.9398760923534131,0.3454255998688529,,,,0.3991691976924177,,,-0.8014425816960012,-0.6220798142188666,-0.7188461224221953,0.9999468207654315,-0.6490270456433209,-0.6889024660583115,-0.7298951371354607,-0.6710286250907251,0.6001572456224158,-0.7709607102515773,-0.7697313736929168,-0.9998369998063057,-0.5890484790441793,-0.3988231980057087,0.9574247784120714,0.9576643685374994,0.13566427495410177,0.1333331921023821,,0.6623743891892163,0.39882319800570837,-0.36261610967692476,0.31021335053394183,0.31021335053394183
freq_band_energy_ratio_band_2_50_150_hz,-0.93710806485135,-0.9892053613780172,0.9748853552185908,0.14627055175896278,0.7088671378721532,0.14644567963418886,0.7737211022477214,-0.978578727374537,-0.9993641108211042,1.0,0.9866710017339967,0.9822397337294039,0.8544636102665767,0.9958036387931856,0.1381366780561767,-0.7150151862230141,,-0.6462484637975393,-0.0681857137336304,-0.9871189372444436,0.9960118108915093,-0.7150151862230141,-0.8021463545315076,-0.4758130807839442,0.9255801326594405,-0.2343824977074362,,-0.9920773820500749,-0.8021463545315076,-0.9867520602822506,-0.965639611501193,0.76819054625174,0.556465233210515,,-0.3157434589559825,0.5205267484232025,-0.9881573633161097,-0.9041126198551808,-0.9914769674550075,-0.45122340235180286,,0.7321613002164478,-0.7561070390246237,-0.9686633846637974,-0.9468748164012318,-0.99990801832403,,-0.9946851806146949,,0.9979256922164711,0.556465233210515,0.9962319626624112,-0.26273206264578924,,0.41199721283916196,0.9514556302469082,-0.37866749443024234,,,,-0.4316078510008522,,,0.8222579969421817,0.6496015021115074,0.7431762005700969,-0.9996786851289876,0.6757404376101822,0.714310036964306,0.7538042160306347,0.6441651996641149,-0.6282964716612529,0.7931793658661634,0.7920037685644146,0.999844980258392,0.6174877091935566,0.4312674396004583,-0.9465225904916768,-0.9467904037036943,-0.17090469181810183,-0.16858637304078503,,-0.6886659532361452,-0.4312674396004581,0.39561503807919346,-0.3439133860050595,-0.3439133860050595
