feature,missing_count,total_count,missing_fraction
recording_id,0,3,0.0
relative_path,0,3,0.0
rpm,0,3,0.0
tooth_count,0,3,0.0
stickout,0,3,0.0
depth_of_cut,0,3,0.0
feed_rate,3,3,1.0
tool_identifier,3,3,1.0
label,0,3,0.0
feature_schema_version,0,3,0.0
early_chatter_band_energy_growth,0,3,0.0
early_energy_growth_rate,0,3,0.0
early_hegr,0,3,0.0
early_instantaneous_amplitude_max,0,3,0.0
early_instantaneous_amplitude_mean,0,3,0.0
early_instantaneous_energy_max,0,3,0.0
early_instantaneous_energy_mean,0,3,0.0
early_short_term_spectral_energy_growth,0,3,0.0
freq_band_energy_ratio_band_1_0_50_hz,0,3,0.0
freq_band_energy_ratio_band_2_50_150_hz,0,3,0.0
freq_band_energy_ratio_band_3_150_300_hz,0,3,0.0
freq_band_energy_ratio_band_4_300_490_hz,0,3,0.0
freq_centroid,0,3,0.0
freq_chatter_band_ratio,0,3,0.0
freq_entropy,0,3,0.0
freq_harmonics_ratio,0,3,0.0
freq_peak,0,3,0.0
freq_sideband_ratio,0,3,0.0
freq_spectral_kurtosis,0,3,0.0
freq_spindle_harmonic_ratio,0,3,0.0
freq_spread,0,3,0.0
freq_tooth_harmonic_ratio,0,3,0.0
imf1_correlation,0,3,0.0
imf_1_bandwidth_hz,0,3,0.0
imf_1_centre_frequency_hz,0,3,0.0
imf_1_energy_ratio,0,3,0.0
imf_1_gate,0,3,0.0
imf_1_kurtosis,0,3,0.0
imf_1_source_correlation,0,3,0.0
imf_1_spectral_entropy,0,3,0.0
imf_2_bandwidth_hz,0,3,0.0
imf_2_centre_frequency_hz,0,3,0.0
imf_2_energy_ratio,0,3,0.0
imf_2_gate,0,3,0.0
imf_2_kurtosis,0,3,0.0
imf_2_source_correlation,0,3,0.0
imf_2_spectral_entropy,0,3,0.0
imf_3_bandwidth_hz,0,3,0.0
imf_3_centre_frequency_hz,0,3,0.0
imf_3_energy_ratio,0,3,0.0
imf_3_gate,0,3,0.0
imf_3_kurtosis,0,3,0.0
imf_3_source_correlation,0,3,0.0
imf_3_spectral_entropy,0,3,0.0
imf_bandwidth_mean,0,3,0.0
imf_centre_freq_mean,0,3,0.0
imf_count,0,3,0.0
imf_entropy_mean,0,3,0.0
imf_frequency_ordering_score,0,3,0.0
imf_max_adjacent_correlation,0,3,0.0
imf_max_energy_ratio,0,3,0.0
imf_mode_mixing_index,0,3,0.0
imf_orthogonality_index,0,3,0.0
imf_selected_count,0,3,0.0
physics_chatter_band_energy,0,3,0.0
physics_chatter_to_harmonic_energy_ratio,0,3,0.0
physics_forced_vibration_energy,0,3,0.0
physics_frequency_proximity,0,3,0.0
physics_peak_to_spindle_harmonic_distance_hz,0,3,0.0
physics_peak_to_tooth_harmonic_distance_hz,0,3,0.0
physics_sideband_strength,0,3,0.0
physics_spindle_frequency_hz,0,3,0.0
physics_tooth_passing_frequency_hz,0,3,0.0
time_clearance_factor,0,3,0.0
time_crest_factor,0,3,0.0
time_impulse_factor,0,3,0.0
time_kurtosis,0,3,0.0
time_mean_absolute,0,3,0.0
time_peak_to_peak,0,3,0.0
time_rms,0,3,0.0
time_shape_factor,0,3,0.0
time_skewness,0,3,0.0
time_std,0,3,0.0
time_variance,0,3,0.0
time_zero_crossing_rate,0,3,0.0
wavelet_cA_2_energy,0,3,0.0
wavelet_cA_2_energy_ratio,0,3,0.0
wavelet_cD_1_energy,0,3,0.0
wavelet_cD_1_energy_ratio,0,3,0.0
wavelet_cD_2_energy,0,3,0.0
wavelet_cD_2_energy_ratio,0,3,0.0
wavelet_dominant_ridge_hz,0,3,0.0
wavelet_entropy,0,3,0.0
wavelet_high_freq_ratio,0,3,0.0
wavelet_time_frequency_concentration,0,3,0.0
window_index,0,3,0.0
start_index,0,3,0.0
end_index,0,3,0.0
window_start_seconds,0,3,0.0
window_end_seconds,0,3,0.0
